ENSRNOG00000020438_Prpf38b,[0],[1],[0],[0],[0],[0]
ENSRNOG00000020441_Wnk4,[0],[1],[0],[0],[0],[1]
ENSRNOG00000020456_Nucb2,[2],[2],[2],[2],[2],[2]
ENSRNOG00000020457_Tacc2,"[0, 0]","[0, 0]","[1, 1]","[0, 0]","[1, 1]","[1, 1]"
ENSRNOG00000020466_Apba3,[1],[0],[1],[1],[0],[2]
ENSRNOG00000020470_Slc25a24,[0],[0],[0],[0],[1],[2]
ENSRNOG00000020475_Sart1,[0],[0],[1],[2],[1],[1]
ENSRNOG00000020482_Nfatc4,[0],[0],[0],[0],[0],[0]
ENSRNOG00000020484_Trpm5,[2],[2],[0],[1],[1],[1]
ENSRNOG00000020488_Luc7l,[2],[2],[2],[2],[2],[2]
ENSRNOG00000020500_Clk2,[2],[2],[2],[2],[2],[1]
ENSRNOG00000020501_Tjp3,[1],[0],[1],[1],[0],[2]
ENSRNOG00000020503_Cbln3,[1],[1],[0],[2],[1],[1]
ENSRNOG00000020525_Col5a3,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[1, 1, 1, 1]"
ENSRNOG00000020536_Hbz,[0],[0],[0],[0],[0],[0]
ENSRNOG00000020557_Ryr1,"[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
ENSRNOG00000020560_Dmbt1,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]"
ENSRNOG00000020562_Slc22a18,[2],[2],[1],[2],[0],[0]
ENSRNOG00000020578_Ceacam1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]","[1, 1, 1]"
ENSRNOG00000020579_Col7a1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000020596_Atp5sl,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1, 1]","[1, 1]"
ENSRNOG00000020615_Nap1l4,"[0, 1]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000020622_Cilp2,[2],[2],[2],[2],[2],[2]
ENSRNOG00000020630_Il9r,"[1, 1]","[0, 0]","[1, 1]","[2, 2]","[1, 1]","[0, 0]"
ENSRNOG00000020643_Bub3,"[0, 0, 0, 0]","[1, 1, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 1]"
ENSRNOG00000020647_Ctsg,[1],[1],[0],[2],[1],[1]
ENSRNOG00000020651_Cars,"[2, 2]","[2, 2]","[1, 1]","[2, 2]","[0, 0]","[0, 0]"
ENSRNOG00000020667_Shisa5,[2],[2],[2],[2],[2],[2]
ENSRNOG00000020678_Ifi35,"[2, 2]","[2, 2]","[2, 2]","[2, 2]","[2, 2]","[1, 1]"
ENSRNOG00000020679_Icam1,[0],[0],[0],[1],[0],[1]
ENSRNOG00000020683_Hnrnpul1,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000020685_Atp12a,[1],[2],[0],[2],[1],[1]
ENSRNOG00000020688_Ccdc51,"[2, 0]","[2, 0]","[2, 1]","[2, 1]","[2, 0]","[2, 0]"
ENSRNOG00000020694_Icam5,[0],[0],[0],[1],[0],[1]
ENSRNOG00000020701_Brca1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000020705_Rnls,[1],[1],[1],[0],[1],[1]
ENSRNOG00000020720_Fbxw12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1]"
ENSRNOG00000020726_Sipa1,[1],[0],[1],[2],[1],[1]
ENSRNOG00000020730_Nbr1,[2],[0],[0],[1],[0],[0]
ENSRNOG00000020733_Camp,[0],[1],[1],[1],[1],[1]
ENSRNOG00000020736_Nadsyn1,"[0, 0]","[0, 0]","[0, 1]","[0, 0]","[1, 1]","[1, 1]"
ENSRNOG00000020743_Cyp2s1,[0],[0],[0],[0],[1],[1]
ENSRNOG00000020744_Adar,[2],[2],[2],[2],[2],[2]
ENSRNOG00000020747_Nkx2-5,[2],[0],[1],[1],[2],[2]
ENSRNOG00000020748_Map4,"[0, 2]","[0, 1]","[1, 1]","[1, 1]","[0, 1]","[0, 1]"
ENSRNOG00000020751_Rdm1,[0],[0],[0],[0],[0],[1]
ENSRNOG00000020763_Snrnp70,"[0, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000020770_Arl4d,"[2, 0]","[0, 0]","[0, 0]","[1, 0]","[0, 0]","[0, 1]"
ENSRNOG00000020775_Cyp2b2,[0],[0],[0],[0],[1],[1]
ENSRNOG00000020776_Dhcr7,[0],[0],[0],[0],[1],[1]
ENSRNOG00000020777_Zfp382,[2],[1],[2],[2],[1],[1]
ENSRNOG00000020784_Kcnk7,[1],[2],[1],[0],[0],[0]
ENSRNOG00000020797_She,[0],[0],[0],[0],[0],[0]
ENSRNOG00000020804_Smarcc1,[0],[0],[0],[0],[1],[1]
ENSRNOG00000020813_Ltbp3,[1],[0],[1],[2],[1],[1]
ENSRNOG00000020817_Cyp2a1,"[1, 2]","[1, 2]","[1, 2]","[1, 2]","[1, 2]","[1, 2]"
ENSRNOG00000020828_Pde4a,"[2, 0]","[2, 0]","[2, 0]","[2, 1]","[2, 0]","[2, 1]"
ENSRNOG00000020833_Cspg5,"[1, 1, 1]","[0, 1, 1]","[0, 1, 1]","[0, 1, 1]","[0, 0, 0]","[0, 1, 1]"
ENSRNOG00000020837_Cd300lg,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000020848_Coq8b,[0],[1],[0],[0],[2],[2]
ENSRNOG00000020853_Scap,"[0, 2]","[0, 2]","[0, 1]","[0, 1]","[0, 2]","[0, 2]"
ENSRNOG00000020864_Kirrel2,[0],[0],[0],[0],[1],[1]
ENSRNOG00000020873_Nphs1,"[2, 2]","[2, 2]","[2, 2]","[2, 2]","[0, 0]","[0, 0]"
ENSRNOG00000020874_Ppy,[0],[1],[2],[1],[1],[0]
ENSRNOG00000020877_Pyy,[2],[1],[2],[2],[1],[0]
ENSRNOG00000020878_Keap1,[0],[0],[0],[1],[0],[1]
ENSRNOG00000020882_Shkbp1,[0],[1],[0],[0],[1],[1]
ENSRNOG00000020884_Cd6,[1],[1],[1],[0],[1],[1]
ENSRNOG00000020894_Lsm12,[0],[1],[0],[0],[0],[0]
ENSRNOG00000020903_Oraov1,"[2, 2]","[2, 2]","[2, 0]","[2, 1]","[1, 0]","[1, 0]"
ENSRNOG00000020904_Cdc42ep2,[2],[2],[2],[2],[1],[1]
ENSRNOG00000020905_Hdac5,[2],[1],[2],[2],[1],[0]
ENSRNOG00000020906_Pola2,[2],[2],[2],[2],[1],[1]
ENSRNOG00000020907_Zp1,"[0, 1]","[0, 1]","[0, 1]","[1, 0]","[0, 1]","[0, 1]"
ENSRNOG00000020915_Setd2,[0],[0],[0],[0],[0],[0]
ENSRNOG00000020916_Tmub2,"[2, 0, 2]","[2, 1, 2]","[2, 0, 2]","[2, 0, 2]","[2, 1, 2]","[2, 2, 2]"
ENSRNOG00000020925_Ccdc86,[1],[1],[1],[0],[1],[1]
ENSRNOG00000020935_Capn1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000020945_Ms4a1,"[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
ENSRNOG00000020952_Cgn,[2],[2],[2],[2],[2],[2]
ENSRNOG00000020953_Ms4a7,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]"
ENSRNOG00000020957_Igflr1,"[2, 0]","[1, 1]","[2, 0]","[2, 0]","[0, 0]","[0, 0]"
ENSRNOG00000020970_Rundc3a,"[0, 2]","[2, 1]","[2, 0]","[1, 1]","[2, 1]","[2, 2]"
ENSRNOG00000020980_AABR07006278.1,[0],[0],[0],[1],[1],[1]
ENSRNOG00000020985_Atp4a,[2],[2],[2],[2],[1],[1]
ENSRNOG00000020989_Tm7sf2,[1],[0],[1],[2],[1],[1]
ENSRNOG00000020997_Ms4a4c,"[0, 0]","[0, 0]","[0, 0]","[1, 1]","[1, 1]","[1, 1]"
ENSRNOG00000020998_Oosp1,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
ENSRNOG00000021000_Naaladl1,[1],[0],[1],[2],[1],[1]
ENSRNOG00000021003_Sac3d1,"[1, 1]","[0, 0]","[1, 1]","[2, 2]","[1, 1]","[1, 1]"
ENSRNOG00000021005_Mrpl16,[0],[0],[0],[0],[1],[1]
ENSRNOG00000021015_Sbsn,"[2, 2]","[2, 1]","[2, 2]","[2, 2]","[1, 0]","[1, 0]"
ENSRNOG00000021018_Batf2,"[1, 2]","[2, 2]","[1, 2]","[0, 2]","[0, 1]","[0, 1]"
ENSRNOG00000021023_Mag,[2],[2],[2],[2],[1],[1]
ENSRNOG00000021026_Zfp687,[2],[2],[2],[2],[2],[2]
ENSRNOG00000021031_Grn,[2],[2],[2],[2],[2],[2]
ENSRNOG00000021041_Fam171a2,[0],[0],[0],[0],[0],[0]
ENSRNOG00000021042_Psmd4,[0],[1],[0],[0],[0],[0]
ENSRNOG00000021044_Gpatch8,"[0, 0, 0, 0]","[0, 1, 1, 1]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[1, 1, 1, 0]"
ENSRNOG00000021053_Lsr,[0],[0],[0],[0],[1],[1]
ENSRNOG00000021057_Osbp,[0],[1],[0],[0],[0],[0]
ENSRNOG00000021060_LOC100909893,"[2, 2]","[1, 1]","[2, 2]","[2, 2]","[1, 0]","[1, 0]"
ENSRNOG00000021068_Pip5k1a,[2],[2],[2],[2],[2],[2]
ENSRNOG00000021070_Olr324,[0],[0],[0],[1],[1],[1]
ENSRNOG00000021072_Olr326,[0],[0],[0],[1],[1],[1]
ENSRNOG00000021078_Olr336,[0],[0],[0],[1],[1],[1]
ENSRNOG00000021097_Hpn,[2],[1],[2],[1],[0],[0]
ENSRNOG00000021103_Nrxn2,[1],[2],[2],[0],[0],[0]
ENSRNOG00000021116_Bnipl,[1],[2],[0],[2],[1],[1]
ENSRNOG00000021118_Nomo1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000021119_Pdcd2l,"[0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
ENSRNOG00000021131_Fam63a,"[0, 0, 0, 2]","[1, 1, 1, 2]","[0, 0, 0, 2]","[0, 0, 0, 2]","[0, 0, 0, 2]","[0, 0, 0, 2]"
ENSRNOG00000021133_Lsm14a,[0],[1],[0],[0],[0],[0]
ENSRNOG00000021140_Kcnk4,[2],[2],[2],[2],[1],[1]
ENSRNOG00000021143_Setdb1,[1],[1],[1],[1],[1],[1]
ENSRNOG00000021147_Bad,[1],[2],[2],[0],[0],[0]
ENSRNOG00000021150_Plcb3,[1],[0],[0],[2],[1],[1]
ENSRNOG00000021157_Ctss,[2],[2],[2],[2],[2],[2]
ENSRNOG00000021177_Cox8a,"[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]"
ENSRNOG00000021200_Hfe2,[2],[2],[2],[2],[2],[2]
ENSRNOG00000021220_Cpxm1,[0],[0],[0],[0],[1],[1]
ENSRNOG00000021223_Ptpra,[1],[2],[2],[2],[0],[0]
ENSRNOG00000021232_Ddrgk1,[1],[2],[2],[2],[1],[1]
ENSRNOG00000021242_Adam33,[1],[2],[2],[2],[1],[1]
ENSRNOG00000021243_Siglec1,"[1, 1, 1, 1]","[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[1, 1, 1, 1]","[1, 1, 1, 1]"
ENSRNOG00000021248_Cdc25b,[1],[2],[2],[2],[1],[1]
ENSRNOG00000021250_Rnf24,[0],[1],[0],[0],[0],[0]
ENSRNOG00000021260_Prnd,[2],[2],[2],[2],[2],[2]
ENSRNOG00000021261_Rassf2,[1],[2],[2],[2],[1],[1]
ENSRNOG00000021263_Tmem230,"[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
ENSRNOG00000021269_Chgb,"[2, 2]","[2, 2]","[2, 2]","[2, 2]","[2, 2]","[2, 2]"
ENSRNOG00000021272_Mcm8,[1],[1],[2],[1],[1],[1]
ENSRNOG00000021285_Celsr1,"[2, 2]","[2, 0]","[2, 1]","[2, 0]","[2, 2]","[2, 2]"
ENSRNOG00000021287_Hexim2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000021290_Olr87,"[2, 0]","[2, 0]","[2, 1]","[2, 0]","[2, 1]","[2, 1]"
ENSRNOG00000021313_Grpcb,"[0, 0]","[0, 0]","[0, 0]","[1, 1]","[0, 0]","[0, 0]"
ENSRNOG00000021338_Tmem132a,"[1, 0]","[1, 0]","[1, 0]","[1, 1]","[1, 0]","[1, 0]"
ENSRNOG00000021345_Timd2,[1],[0],[0],[2],[1],[2]
ENSRNOG00000021364_LOC691311,[0],[1],[1],[2],[1],[1]
ENSRNOG00000021370_Ccdc69,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
ENSRNOG00000021381_Ccdc68,"[1, 2]","[0, 1]","[1, 1]","[0, 2]","[2, 2]","[1, 2]"
ENSRNOG00000021395_LOC100363452,[1],[1],[1],[1],[1],[1]
ENSRNOG00000021402_Ankrd53,[1],[1],[1],[1],[1],[1]
ENSRNOG00000021405_LOC100361547,[0],[0],[1],[0],[1],[1]
ENSRNOG00000021406_LOC108351936,[2],[2],[2],[2],[2],[2]
ENSRNOG00000021412_Slfn13,"[0, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000021424_Cd300lf,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
ENSRNOG00000021433_Arhgef39,"[0, 0]","[0, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000021437_AABR07073181.1,"[2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2]","[1, 1, 1, 1, 1, 1]","[2, 2, 2, 2, 2, 2]"
ENSRNOG00000021469_Ccdc14,"[0, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 1, 1, 1, 1, 1, 1]","[0, 2, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000021474_Siglec5,"[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[0, 0]"
ENSRNOG00000021493_Prdm9,"[1, 1, 1, 1, 2]","[2, 1, 1, 1, 2]","[2, 1, 1, 1, 2]","[2, 1, 1, 1, 2]","[1, 1, 0, 0, 2]","[1, 1, 0, 0, 2]"
ENSRNOG00000021497_Akt3,[0],[0],[0],[0],[1],[0]
ENSRNOG00000021510_Tbc1d10c,"[2, 2]","[2, 2]","[1, 2]","[0, 1]","[0, 1]","[0, 1]"
ENSRNOG00000021517_Tmem231,[2],[2],[2],[0],[2],[2]
ENSRNOG00000021518_Trim31,[1],[0],[1],[1],[2],[2]
ENSRNOG00000021521_Chst5,[2],[2],[2],[0],[2],[2]
ENSRNOG00000021524_Mrap,[1],[1],[0],[0],[0],[1]
ENSRNOG00000021526_Slc25a34,[1],[1],[0],[0],[0],[0]
ENSRNOG00000021533_AABR07059201.1,[0],[1],[1],[2],[2],[2]
ENSRNOG00000021536_Plxdc1,"[1, 1]","[0, 0]","[0, 0]","[2, 2]","[1, 1]","[1, 1]"
ENSRNOG00000021551_Gcnt7,[2],[2],[1],[2],[2],[2]
ENSRNOG00000021553_Nckap5,"[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
ENSRNOG00000021560_Cass4,"[2, 0, 0, 0, 0]","[2, 0, 0, 0, 0]","[2, 1, 1, 1, 1]","[2, 0, 0, 0, 0]","[2, 0, 0, 0, 0]","[2, 0, 0, 0, 0]"
ENSRNOG00000021569_Tiam1,"[2, 2]","[2, 1]","[2, 2]","[2, 1]","[2, 1]","[2, 0]"
ENSRNOG00000021573_Dpy19l3,[0],[1],[0],[0],[0],[0]
ENSRNOG00000021575_AABR07021096.1,[0],[2],[0],[1],[1],[0]
ENSRNOG00000021584_AABR07028349.1,"[1, 0, 1, 1]","[1, 1, 1, 1]","[2, 0, 2, 0]","[0, 0, 0, 2]","[0, 0, 0, 2]","[0, 0, 0, 2]"
ENSRNOG00000021589_RGD1561931,[2],[2],[2],[2],[2],[2]
ENSRNOG00000021614_Kmt2e,"[2, 2]","[2, 2]","[2, 2]","[2, 2]","[2, 1]","[2, 2]"
ENSRNOG00000021663_RGD1561849,[2],[2],[2],[1],[2],[2]
ENSRNOG00000021669_Mybl1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000021670_Frem2,"[2, 0]","[2, 1]","[2, 0]","[2, 1]","[2, 0]","[2, 0]"
ENSRNOG00000021688_Ndufa13,"[0, 0]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[0, 0]"
ENSRNOG00000021693_Fam149a,"[0, 0]","[0, 1]","[0, 1]","[0, 0]","[1, 0]","[1, 0]"
ENSRNOG00000021704_Atp8b5p,[0],[1],[0],[0],[0],[0]
ENSRNOG00000021718_Cspp1,[2],[2],[2],[1],[2],[2]
ENSRNOG00000021719_Slfn5,"[0, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000021726_Tlr3,"[1, 1, 1, 1]","[2, 2, 2, 3]","[1, 1, 1, 2]","[2, 2, 2, 2]","[1, 1, 1, 2]","[1, 1, 1, 1]"
ENSRNOG00000021727_Olr1875,[1],[1],[1],[1],[2],[1]
ENSRNOG00000021729_Iqub,[0],[0],[1],[2],[1],[0]
ENSRNOG00000021782_Zscan10,[1],[1],[1],[1],[0],[0]
ENSRNOG00000021787_Zfp217,[0],[0],[0],[1],[0],[0]
ENSRNOG00000021794_Znhit2,[1],[2],[1],[0],[0],[0]
ENSRNOG00000021800_Zfp541,[2],[1],[2],[2],[2],[2]
ENSRNOG00000021805_Rft1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000021815_Lig3,[0],[1],[0],[0],[0],[0]
ENSRNOG00000021817_Irak2,[0],[1],[0],[0],[0],[0]
ENSRNOG00000021833_Myrfl,"[1, 1]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]"
ENSRNOG00000021851_Ccl1,[0],[1],[1],[0],[1],[1]
ENSRNOG00000021855_Kcp,[1],[0],[2],[2],[1],[1]
ENSRNOG00000021867_AABR07009508.1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000021871_Gcn1l1,[1],[1],[1],[2],[2],[2]
ENSRNOG00000021890_Nob1,[1],[1],[1],[2],[0],[0]
ENSRNOG00000021892_Ccdc38,[1],[1],[1],[1],[1],[1]
ENSRNOG00000021898_LOC681241,[2],[2],[2],[2],[2],[2]
ENSRNOG00000021900_Zfp873,"[1, 1, 1]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
ENSRNOG00000021904_Tecpr2,"[2, 2, 0]","[2, 2, 1]","[2, 2, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
ENSRNOG00000021910_Nkx2-6,[1],[2],[2],[1],[1],[1]
ENSRNOG00000021912_Gpr152,"[2, 0]","[2, 0]","[2, 1]","[1, 1]","[1, 1]","[1, 1]"
ENSRNOG00000021913_Nlrp9,"[0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
ENSRNOG00000021954_Spg11,"[2, 0, 0]","[2, 0, 0]","[2, 1, 0]","[2, 1, 1]","[2, 0, 0]","[2, 0, 0]"
ENSRNOG00000021962_Fzd2,[0],[0],[0],[0],[0],[0]
ENSRNOG00000021966_Il17rd,"[0, 0, 0]","[2, 0, 0]","[2, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
ENSRNOG00000021972_LOC100361016,[1],[2],[1],[1],[0],[0]
ENSRNOG00000021996_Nlrp4,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 2, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
ENSRNOG00000021999_AABR07051982.1,[0],[0],[0],[1],[0],[0]
ENSRNOG00000022012_Tnfrsf18,[2],[2],[2],[1],[2],[2]
ENSRNOG00000022030_Aunip,"[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
ENSRNOG00000022043_Yipf2,"[0, 0]","[0, 0]","[0, 0]","[1, 1]","[1, 1]","[1, 1]"
ENSRNOG00000022060_Magi1,[0],[0],[0],[1],[1],[1]
ENSRNOG00000022067_Tlr5,"[1, 2]","[1, 1]","[0, 1]","[1, 2]","[1, 1]","[2, 2]"
ENSRNOG00000022099_Trim72,[2],[2],[2],[2],[2],[2]
ENSRNOG00000022107_RT1-M6-1,[0],[0],[0],[0],[1],[1]
ENSRNOG00000022136_LOC685680,[0],[0],[1],[1],[0],[0]
ENSRNOG00000022139_Serpinb9d,[0],[1],[0],[0],[0],[0]
ENSRNOG00000022143_Dusp23,[2],[1],[2],[1],[1],[2]
ENSRNOG00000022164_Zscan2,[1],[0],[1],[1],[0],[1]
ENSRNOG00000022171_Dhx37,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
ENSRNOG00000022181_LOC103693984,"[1, 1, 0, 1]","[1, 1, 0, 0]","[1, 1, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 0]","[1, 1, 1, 0]"
ENSRNOG00000022182_Rint1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000022199_Zmynd12,"[0, 2]","[0, 2]","[1, 2]","[1, 2]","[1, 2]","[1, 2]"
ENSRNOG00000022218_Ifi44,[1],[1],[2],[2],[2],[2]
ENSRNOG00000022225_Lrrc19,[1],[1],[2],[2],[1],[2]
ENSRNOG00000022234_mrpl24,"[0, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000022245_Msantd4,[0],[1],[0],[0],[0],[0]
ENSRNOG00000022247_Nr2c2ap,"[1, 0]","[2, 0]","[2, 0]","[1, 1]","[1, 1]","[1, 1]"
ENSRNOG00000022249_Mllt10,"[1, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000022274_Slc2a8,[2],[1],[1],[1],[1],[1]
ENSRNOG00000022296_Pnpla5,[0],[1],[1],[1],[1],[2]
ENSRNOG00000022308_LOC103691298,"[1, 1]","[2, 2]","[1, 1]","[2, 2]","[2, 2]","[2, 2]"
ENSRNOG00000022309_Frem1,"[2, 2]","[2, 2]","[2, 2]","[2, 2]","[2, 2]","[2, 3]"
ENSRNOG00000022368_Ddx49,[1],[2],[1],[0],[1],[1]
ENSRNOG00000022386_Opalin,"[0, 2, 2]","[0, 2, 2]","[1, 2, 2]","[0, 2, 2]","[1, 2, 2]","[1, 2, 2]"
ENSRNOG00000022414_Zfp142,[1],[1],[1],[2],[1],[1]
ENSRNOG00000022426_LOC102546864,[0],[0],[2],[0],[1],[2]
ENSRNOG00000022429_RGD1312005,[1],[1],[1],[2],[1],[1]
ENSRNOG00000022472_Snap47,[1],[1],[1],[2],[1],[1]
